,Topic,document,Stance,Conclusion,Argument ID
253,24,Children are not able to consent or conceptualize permanent changes which result from cosmetic surgery.,in favor of,We should ban cosmetic surgery for minors,A09040
254,13,"the zero-tolerance policy is not a good thing at all , kids getting punished for their actions and humiliated in front of a audience is really not the great thing to do.",against,We should adopt a zero-tolerance policy in schools,A09042
255,15,economic sanctions hurt the poorest people of a nation,in favor of,We should end the use of economic sanctions,A09043
256,15,economic sanctions can be very effective in bringing about social change,against,We should end the use of economic sanctions,A09045
257,2,mandatory retirement should be ended as it is unfair on older people.,in favor of,We should end mandatory retirement,A09046
258,18,"In multi-party systems, there are many types of ideologies - as opposed to two-party systems, where the nation is not divided into two rival groups.",in favor of,We should adopt a multi-party system,A09048
259,5,recent dna evidence have proved that some death penalty inmates to be innocent. executing one innocent person is an enough proof that the capital punishment should be abolished.,in favor of,We should abolish capital punishment,A09051
260,1,autonomous cars can make trips more relaxing and help the traveler arrive refreshed and happy.  it can also eliminate road rage.,against,We should stop the development of autonomous cars,A09053
261,57,WE SHOuld ban human cloning because it causes huge issues in terms of rights and ownership,in favor of,We should ban human cloning,A09058
262,45,The Olympic Games allow for countries around the world to compete in friendly competition and is a healthy outlet for national pride.,against,We should abolish the Olympic Games,A09060
263,82,freedom to choose what someone believes in is a right,against,We should adopt atheism,A09061
264,6,college is getting more and more expensive each year so students should be getting as much help as they need,in favor of,We should subsidize student loans,A09062
265,7,researchers found that in schools across the world with uniform policies students are more disciplined and concentrated,against,We should abandon the use of school uniform,A09063
